,Circuit breaker Open/Close Status,Disconnector Open/Close Status,Earth switch Open/Close Status,Protection system healthy (Trip circuit healthy),Control level - Local or remote,Protection tripped,Circuit breaker mechanical failure,Auxiliary power failure,Intertrip command send,Intertrip command receive,Current Line 'L1',Current Line 'L2',Current Line 'L3',Voltage Phase 'L1-N',Voltage Phase 'L2-N',Voltage Phase 'L3-N',Active Power,Reactive power,Frequency,Power Factor
0,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14543036,9225082,50.0,0.84
1,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14562073,9217264,50.0,0.84
2,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14581099,9209701,50.0,0.85
3,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14600098,9202398,50.0,0.85
4,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14619060,9195359,50.0,0.85
5,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14637970,9188590,50.0,0.85
6,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14656817,9182094,50.0,0.85
7,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14675586,9175877,50.0,0.85
8,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14694265,9169943,50.0,0.85
9,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14712841,9164296,50.0,0.85
10,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14731301,9158939,50.0,0.85
11,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14749634,9153877,50.0,0.85
12,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14767825,9149112,50.0,0.85
13,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14785863,9144649,50.0,0.85
14,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37156,37156,37156,14803736,9140489,50.0,0.85
