,Circuit breaker Open/Close Status,Disconnector Open/Close Status,Earth switch Open/Close Status,Protection system healthy (Trip circuit healthy),Control level - Local or remote,Protection tripped,Circuit breaker mechanical failure,Auxiliary power failure,Intertrip command send,Intertrip command receive,Current Line 'L1',Current Line 'L2',Current Line 'L3',Voltage Phase 'L1-N',Voltage Phase 'L2-N',Voltage Phase 'L3-N',Active Power,Reactive power,Frequency,Power Factor
36,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,158,158,158,37149,37149,37149,15131867,9129367,50.0,0.86
37,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,158,158,158,37148,37148,37148,15142879,9132546,50.0,0.86
38,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,158,158,158,37148,37148,37148,15153481,9136037,50.0,0.86
39,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,158,158,158,37147,37147,37147,15163665,9139838,50.0,0.86
40,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,158,158,158,37147,37147,37147,15173424,9143946,50.0,0.86
41,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37146,37146,37146,15182752,9148358,50.0,0.86
42,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37146,37146,37146,15191643,9153072,50.0,0.86
43,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37145,37145,37145,15200089,9158083,50.0,0.86
44,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37145,37145,37145,15208086,9163389,50.0,0.86
45,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37144,37144,37144,15215628,9168986,50.0,0.86
46,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37143,37143,37143,15222709,9174870,50.0,0.86
47,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37143,37143,37143,15229326,9181037,50.0,0.86
48,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37142,37142,37142,15235472,9187483,50.0,0.86
49,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37142,37142,37142,15241145,9194203,50.0,0.86
50,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37141,37141,37141,15246340,9201193,50.0,0.86
51,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37140,37140,37140,15251054,9208448,50.0,0.86
52,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,159,159,159,37140,37140,37140,15255283,9215963,50.0,0.86
53,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37139,37139,37139,15259025,9223732,50.0,0.86
54,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37139,37139,37139,15262277,9231751,50.0,0.86
55,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37138,37138,37138,15265036,9240015,50.0,0.86
56,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37137,37137,37137,15267302,9248516,50.0,0.86
57,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37137,37137,37137,15269071,9257250,50.0,0.86
58,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37136,37136,37136,15270344,9266211,50.0,0.85
59,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37135,37135,37135,15271119,9275392,50.0,0.85
60,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37135,37135,37135,15271396,9284787,50.0,0.85
