,Circuit breaker Open/Close Status,Disconnector Open/Close Status,Earth switch Open/Close Status,Protection system healthy (Trip circuit healthy),Control level - Local or remote,Protection tripped,Circuit breaker mechanical failure,Auxiliary power failure,Intertrip command send,Intertrip command receive,Current Line 'L1',Current Line 'L2',Current Line 'L3',Voltage Phase 'L1-N',Voltage Phase 'L2-N',Voltage Phase 'L3-N',Active Power,Reactive power,Frequency,Power Factor
0,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,309,309,37156,37156,37156,-29086073,-18450164,50.0,0.84
1,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,309,309,37156,37156,37156,-29124147,-18434529,50.0,0.84
2,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,309,309,37156,37156,37156,-29162198,-18419403,50.0,0.85
3,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,309,309,37156,37156,37156,-29200197,-18404796,50.0,0.85
4,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,309,309,309,37156,37156,37156,-29238121,-18390719,50.0,0.85
5,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,310,310,37156,37156,37156,-29275941,-18377180,50.0,0.85
6,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,310,310,37156,37156,37156,-29313634,-18364189,50.0,0.85
7,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,310,310,37156,37156,37156,-29351172,-18351755,50.0,0.85
8,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,310,310,37156,37156,37156,-29388530,-18339887,50.0,0.85
9,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,310,310,310,37156,37156,37156,-29425682,-18328592,50.0,0.85
10,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,311,311,37156,37156,37156,-29462603,-18317879,50.0,0.85
11,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,311,311,37156,37156,37156,-29499268,-18307754,50.0,0.85
12,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,311,311,37156,37156,37156,-29535651,-18298225,50.0,0.85
13,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,311,311,311,37156,37156,37156,-29571727,-18289298,50.0,0.85
14,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,312,312,37156,37156,37156,-29607473,-18280979,50.0,0.85
15,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,312,312,37156,37156,37156,-29642862,-18273274,50.0,0.85
16,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,312,312,37155,37155,37155,-29677872,-18266188,50.0,0.85
17,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,312,312,312,37155,37155,37155,-29712477,-18259726,50.0,0.85
18,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,313,313,37155,37155,37155,-29746655,-18253893,50.0,0.85
19,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,313,313,37155,37155,37155,-29780382,-18248691,50.0,0.85
20,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,313,313,37155,37155,37155,-29813634,-18244126,50.0,0.85
21,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,313,313,313,37154,37154,37154,-29846389,-18240199,50.0,0.85
22,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,314,314,37154,37154,37154,-29878625,-18236914,50.0,0.85
23,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,314,314,37154,37154,37154,-29910319,-18234273,50.0,0.85
24,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,314,314,37154,37154,37154,-29941450,-18232277,50.0,0.85
25,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,314,314,37153,37153,37153,-29971996,-18230929,50.0,0.85
26,1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,314,314,314,37153,37153,37153,-30001936,-18230228,50.0,0.85
