,t,ct:CT1:Ia_ka,ct:CT1:Ib_ka,ct:CT1:Ic_ka,ct:CT1:Pa_mw,ct:CT1:Pb_mw,ct:CT1:Pc_mw,ct:CT1:Qa_mvar,ct:CT1:Qb_mvar,ct:CT1:Qc_mvar,bus:bus1:vm_a_kv,bus:bus1:vm_b_kv,bus:bus1:vm_c_kv,ct:CT2:Ia_ka,ct:CT2:Ib_ka,ct:CT2:Ic_ka,ct:CT2:Pa_mw,ct:CT2:Pb_mw,ct:CT2:Pc_mw,ct:CT2:Qa_mvar,ct:CT2:Qb_mvar,ct:CT2:Qc_mvar,ct:CT3:Ia_ka,ct:CT3:Ib_ka,ct:CT3:Ic_ka,ct:CT3:Pa_mw,ct:CT3:Pb_mw,ct:CT3:Pc_mw,ct:CT3:Qa_mvar,ct:CT3:Qb_mvar,ct:CT3:Qc_mvar,cb:CB1:closed,cb:CB2:closed,cb:CB3:closed
0,0.0,0.30876530275169567,0.3137646276517231,0.3044883454515674,-9.687111899788988,-9.831412089908875,-9.567576621053373,-6.143161345643803,-6.239881096078326,-6.0672091763019695,64.34646820146965,64.27986082657158,64.44468830963272,0.15438265137585055,0.15688231382586434,0.15224417272578644,4.8435559498945455,4.915706044954489,4.783788310526736,3.071580672822011,3.119940548039273,3.033604588151095,0.15438265137585055,0.15688231382586434,0.15224417272578644,4.8435559498945455,4.915706044954489,4.783788310526736,3.071580672822011,3.119940548039273,3.033604588151095,True,True,True
1,0.1,0.3068363770021205,0.3114781763304559,0.30933240220948305,-9.639946106322315,-9.772038022630895,-9.71218689595819,-6.100005905398367,-6.186276992804488,-6.148320079675944,64.39570489004934,64.3132710215876,64.36256216360033,0.15436868658689948,0.1569070834084996,0.1525481110789647,4.849824661523173,4.922130145268384,4.79013061086635,3.0689155950364553,3.1171770865902855,3.031208505803254,0.15246769041701266,0.15457109753677584,0.1567842958938804,4.790121444799353,4.849907877362721,4.922056285092052,3.0310903103621305,3.069099906214418,3.117111573872908,True,True,True
2,0.2,0.3141990141933221,0.30490983908361324,0.30919347847918127,-9.857143526827226,-9.59261677278551,-9.71246551860767,-6.229492593607299,-6.057082380378576,-6.13291610076063,64.28018660331128,64.44504068673696,64.3466866249896,0.1570995070966629,0.1524549195418085,0.15459673923959247,4.928571763413643,4.796308386392785,4.856232759303865,3.1147462968037325,3.028541190189371,3.0664580503803975,0.1570995070966629,0.15245491954180848,0.15459673923959247,4.928571763413643,4.796308386392784,4.856232759303864,3.114746296803732,3.0285411901893706,3.066458050380398,True,True,True
3,0.3,0.3097655554533893,0.3072663774459175,0.31191472627774536,-9.737547654182736,-9.665118175806716,-9.797555449142658,-6.138405260578218,-6.090160084729931,-6.176305079954635,64.36284041725831,64.39593141194706,64.31348100427645,0.1570038204068525,0.15268133103318252,0.15478778174471558,4.934908997134966,4.802629392233989,4.862572345341755,3.112090715029242,3.026196082907192,3.064148717322086,0.15276173984534883,0.1545850464148085,0.15712694916906844,4.802638657047881,4.862488783572839,4.934983103801014,3.026314545549583,3.063964001823346,3.112156362633155,True,True,True
4,0.4,0.3096317574425469,0.3146437171173514,0.3053412720259972,-9.73775197553991,-9.882806713142028,-9.61759032748173,-6.123362241173059,-6.219806175678811,-6.047638530623594,64.34678547060706,64.28038400707791,64.44527710843597,0.1548158787212785,0.15732185855868075,0.15267063601300362,4.868875987770055,4.941403356571115,4.8087951637409665,3.061681120586721,3.1099030878395957,3.0238192653119884,0.1548158787212785,0.15732185855868078,0.15267063601300362,4.868875987770055,4.941403356571115,4.808795163740965,3.061681120586721,3.109903087839596,3.023819265311989,True,True,True
5,0.5,0.3102081884807089,0.3077057565539443,0.3123608336139736,-9.762806249656814,-9.690188885815077,-9.822970216240282,-6.129196288246457,-6.081014670526288,-6.167043311556929,64.36299619182888,64.39603990342476,64.31356677530509,0.15298004130263756,0.15480612537402522,0.1573516310099665,4.815096281941854,4.875101967752538,4.947784330657308,3.0217686648605246,3.0593647527388335,3.107493413780013,0.157228152012169,0.15289963118226482,0.1550092072615184,4.947709967714847,4.815086918062429,4.875185885582859,3.1074276233858242,3.0216499177873466,3.0595498977768067,True,True,True
6,0.6,0.3104326492878146,0.30792855550007026,0.3125870575090332,-9.775375581499574,-9.702664737160289,-9.835617313590296,-6.124864447909251,-6.07671251440251,-6.162686730351591,64.36302801034775,64.39604978864705,64.31356300247452,0.15734191236705647,0.15301032606301437,0.1551214926258433,4.95408007529306,4.8212860927602605,4.88146274376073,3.1052342673985946,3.0195112849952825,3.0573865983177715,0.15309074177242793,0.15491822943955527,0.15746556955153676,4.821295506206625,4.8813786444001375,4.954154569829676,3.0196301805107084,3.0572012294072786,3.1053001320338685,True,True,True
7,0.7,0.31532721471279335,0.306004243550409,0.3103052614501506,-9.921019724444484,-9.654776126204759,-9.775404190716108,-6.206650406626106,-6.034809295928049,-6.11038446599163,64.28043838604133,64.44541303612323,64.3467090738394,0.15766360735639462,0.15300212177520245,0.1551526307250733,4.960509862222186,4.827388063102323,4.887702095358,3.1033252033129988,3.017404647963969,3.055192232995761,0.15766360735639462,0.15300212177520245,0.1551526307250733,4.960509862222186,4.827388063102323,4.887702095358,3.1033252033129988,3.017404647963969,3.055192232995761,True,True,True
8,0.8,0.3083795419576477,0.3130450028776011,0.3108870230781179,-9.727454678267163,-9.860747594526158,-9.80035123894617,-6.068664017877734,-6.1545370731176945,-6.116760873680714,64.39598081842077,64.31346217033095,64.36299941725693,0.15514514901530088,0.15769621735584471,0.15331482968551866,4.893850656665522,4.966812469060289,4.8336135340770845,3.053153784499074,3.1011974545059435,3.015629437736428,0.15323439294513497,0.1553487902118847,0.15757219827915736,4.83360402160154,4.893935125465767,4.966737704868985,3.01551023337855,3.0533396186116404,3.101131435944174,True,True,True
9,0.9,0.31327638269889807,0.31111659703327477,0.30860739296560064,-9.873213551194075,-9.812740443811952,-9.739751774526727,-6.150749570352443,-6.11299468163191,-6.064923181874149,64.31336518755712,64.36293903228052,64.39590201633163,0.15781275454156313,0.15342804992523265,0.15525979521251934,4.973091452112085,4.839723893767707,4.900037442626798,3.0992908642870614,3.0137699154885476,3.0512726309356957,0.15546363285841394,0.1576885520119109,0.15334759775602305,4.900122099082008,4.973016550044262,4.839714331899948,3.0514587060654366,3.099224766143419,3.013650550938508,True,True,True
